Activity Type,Date,Title,Time,Moving Time,Elapsed Time,Distance,Calories,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Max Avg Power (20 min),Avg Power,Max Power,Number of Laps,Min Elevation,Max Elevation
Virtual Cycling,7/6/22 21:06,Zwift - Knickerbocker in New York,0:50:35,0:50:29,0:50:34,15.03,408,149,179,17.8,42.4,1257.00,89,105,167,166,140,326,1,14,436.00
Virtual Cycling,7/5/22 22:06,Zwift - Tempus Fugit in Watopia,0:35:46,0:35:44,0:35:45,11.2,246,141,169,18.8,27.4,89.00,92,108,149,162,119,299,1,41,58.00
Virtual Cycling,6/24/22 18:13,Zwift - London,0:52:20,0:52:12,0:52:22,15.67,424,133,163,18,47.4,807.00,82,100,151,165,142,169,15,10,510.00
Virtual Cycling,6/22/22 20:58,Zwift - Tempus Fugit in Watopia,0:38:15,0:38:06,0:38:14,12.48,293,144,179,19.6,29.5,105.00,89,125,185,166,133,347,1,41,58.00
Virtual Cycling,6/21/22 18:27,Zwift - Endurance 1HR in New York,1:01:08,1:01:07,1:01:07,16.26,476,137,166,16,47.2,1483.00,87,102,139,145,135,201,15,14,436.00
Virtual Cycling,6/20/22 17:19,Zwift - Grand Central Circuit in New York,1:03:04,1:03:03,1:03:03,18.1,549,137,166,17.2,46.5,1969.00,89,108,178,173,151,315,1,66,436.00
Virtual Cycling,6/19/22 20:23,Zwift - Tempus Fugit in Watopia,1:01:57,1:00:37,1:01:56,19.89,468,137,166,19.3,27.7,164.00,88,114,168,175,134,367,1,41,58.00
Virtual Cycling,6/9/22 10:47,Zwift - Tempus Fugit in Watopia,0:45:17,0:45:12,0:45:16,15.72,367,137,166,20.8,29.5,125.00,87,127,185,170,141,356,1,41,58.00
Virtual Cycling,6/7/22 17:49,Zwift - Tempus Fugit in Watopia,1:11:27,1:05:29,1:11:26,22.41,545,137,166,18.8,28.1,177.00,77,122,169,182,140,245,10,41,58.00
Virtual Cycling,6/6/22 20:30,Zwift - Flat Route in Watopia,0:57:47,0:30:04,0:57:46,6.86,135,137,166,7.1,29.3,200.00,65,112,106,47,75,282,1,-20,75.00
Virtual Cycling,6/5/22 18:27,Zwift - Tempus Fugit in Watopia,1:07:59,1:07:13,1:07:58,23.11,554,137,166,20.4,28.3,190.00,84,106,161,180,142,191,18,41,58.00
Virtual Cycling,6/3/22 15:48,Zwift - Endurance 1HR,1:48:32,1:47:59,1:48:31,19.54,720,137,166,10.8,46.4,3484.00,75,108,142,165,115,252,15,24,3436.00
