Distance,Calories,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Min Temp,Max Temp,Avg Resp,Min Resp,Max Resp,Min Elevation,Max Elevation
8.05,286.00,106.00,148.00,1.80,8.30,21.10,121.00,141.00,224.00,85.00,138.00,118.00,133.00,111.00,445.00,26847.00,60.80,65.00,21.00,16.00,30.00,-182.00,-127.00
8.26,381.00,143.00,177.00,3.20,13.50,26.20,243.00,253.00,63.00,106.00,138.00,118.00,133.00,111.00,445.00,1501.00,51.80,55.00,29.00,19.00,40.00,-2.00,58.00
13.44,390.00,145.00,170.00,2.50,22.60,25.60,226.00,236.00,104.00,194.00,138.00,118.00,133.00,111.00,445.00,2479.00,57.20,68.00,28.00,17.00,38.00,-90.00,-35.00
30.36,1148.00,141.00,172.00,4.10,15.30,26.20,489.00,512.00,75.00,120.00,138.00,118.00,133.00,111.00,445.00,6576.00,68.00,81.00,29.00,17.00,38.00,22.00,142.00
72.83,2718.00,145.00,176.00,3.10,15.70,31.00,2113.00,2051.00,84.00,153.00,138.00,118.00,133.00,111.00,445.00,19699.00,66.20,84.00,31.00,18.00,42.00,-1.00,274.00
64.41,1935.00,145.00,179.00,5.00,19.80,34.90,1982.00,2008.00,75.00,114.00,138.00,118.00,133.00,111.00,445.00,11923.00,62.60,75.00,31.00,18.00,42.00,-16.00,272.00
64.57,2679.00,133.00,181.00,4.70,12.30,34.80,3907.00,3927.00,142.00,15.00,138.00,118.00,133.00,111.00,445.00,30694.00,69.80,84.00,27.00,14.00,42.00,-82.00,1176.00
11.34,240.00,117.00,138.00,1.50,21.00,16.70,36.00,43.00,52.00,87.00,138.00,118.00,133.00,111.00,445.00,1226.00,77.00,80.00,24.00,19.00,30.00,-81.00,54.00
45.89,1705.00,144.00,181.00,4.50,16.40,35.30,1706.00,1736.00,77.00,209.00,138.00,118.00,133.00,111.00,445.00,10075.00,64.40,74.00,30.00,17.00,42.00,21.00,293.00
50.57,1901.00,143.00,184.00,5.00,16.80,34.80,1873.00,1870.00,67.00,131.00,138.00,118.00,133.00,111.00,445.00,9328.00,73.40,88.00,31.00,19.00,44.00,119.00,293.00
32.61,1657.00,152.00,178.00,5.00,12.80,39.80,3619.00,3589.00,70.00,147.00,138.00,118.00,133.00,111.00,445.00,9017.00,60.80,80.00,34.00,18.00,43.00,-12.00,1263.00
10.29,573.00,145.00,170.00,2.50,13.80,24.10,466.00,423.00,106.00,111.00,138.00,118.00,133.00,111.00,445.00,12180.00,80.60,83.00,28.00,17.00,38.00,-112.00,62.00
