Distance,Calories,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Min Temp,Max Temp,Avg Resp,Min Resp,Max Resp,Min Elevation,Max Elevation
79.61,2476.00,149.00,175.00,5.00,16.80,27.20,1588.00,1588.00,80.00,110.00,143.00,209.30,151.00,124.00,480.00,19421.00,77.00,85.00,28.00,17.00,38.00,28.00,220.00
10.13,313.00,145.00,170.00,2.50,14.00,31.60,394.00,374.00,75.00,110.00,132.00,26.90,103.00,99.00,417.00,2223.00,71.60,77.00,28.00,17.00,38.00,7.00,188.00
5.44,162.00,145.00,170.00,2.50,9.00,22.20,276.00,266.00,65.00,107.00,92.00,10.70,46.00,52.00,374.00,1141.00,77.00,77.00,28.00,17.00,38.00,-14.00,186.00
36.71,1121.00,146.00,179.00,4.10,18.00,41.90,1962.00,1959.00,84.00,132.00,171.00,128.20,170.00,132.00,548.00,8849.00,59.00,77.00,28.00,17.00,38.00,15.00,569.00
16.99,570.00,141.00,167.00,3.30,14.70,29.20,748.00,505.00,81.00,117.00,146.00,52.50,129.00,115.00,525.00,4546.00,57.20,77.00,28.00,17.00,38.00,-9.00,333.00
62.76,1891.00,143.00,181.00,4.90,16.70,26.00,686.00,679.00,86.00,109.00,136.00,149.00,156.00,118.00,524.00,17279.00,62.60,78.00,28.00,17.00,38.00,5.00,246.00
45.84,1555.00,146.00,194.00,5.00,16.20,28.20,961.00,1020.00,85.00,112.00,151.00,138.60,147.00,131.00,515.00,12159.00,59.00,76.00,20.00,19.00,24.00,-11.00,171.00
12.82,410.00,145.00,170.00,2.50,13.40,28.30,377.00,295.00,73.00,106.00,126.00,31.60,105.00,97.00,509.00,3111.00,69.80,77.00,28.00,17.00,38.00,17.00,212.00
44.93,1421.00,145.00,170.00,2.50,15.60,30.40,1132.00,1112.00,82.00,120.00,145.00,117.10,160.00,109.00,423.00,9743.00,64.40,77.00,28.00,17.00,38.00,19.00,266.00
12.27,439.00,145.00,170.00,2.50,14.90,25.30,338.00,397.00,80.00,110.00,125.00,26.90,112.00,109.00,342.00,3074.00,66.20,77.00,28.00,17.00,38.00,-17.00,374.00
